LENGTH,WIDTH,HEIGHT,ITEM CODE NEW,,
285,195,190,14-120-1374562,0,5.16
340,260,240,14-120-1374549,0,2.57
420,235,230,14-120-1374551,0,2.4
460,260,275,14-120-1374552,0,1.66
320,180,235,14-120-1374553,0,4.02
445,260,280,14-120-1374554,0,1.68
330,275,285,14-120-1374555,0,2.11
550,500,700,14-119-1374765,0,0.28
240,240,95,14-120-1376430,0,9.95
380,300,390,14-120-1376735,0,1.22
240,230,120,14-120-1376962,0,8.22
870,870,1110,14-119-1357323,0,0.06
280,175,225,14-120-1377971,0,4.94
195,75,115,14-120-1379097,0,0
200,180,210,14-120-1379100,0,7.2
175,175,125,14-120-1379218,0,14.22
140,140,130,14-120-1379219,0,21.37
340,340,175,14-120-1379223,0,2.69
570,470,275,14-120-1379275,0,0.74
280,170,220,14-120-1379280,0,5.2
375,175,160,14-120-1379539,0,5.19
400,200,180,14-120-1379541,0,3.78
225,200,160,14-120-1380193,0,7.56
470,470,15,14-117-1381119,0,0
350,350,15,14-117-1381120,0,0
350,350,15,14-117-1383405,0,0
470,470,15,14-117-1383406,0,0
1500,500,500,14-119-1381195,0,0.15
2300,500,500,14-119-1381197,0,0.09
2700,500,500,14-119-1381198,0,0.08
280,175,165,14-120-1381308,0,6.73
640,120,560,14-120-1381559,0,1.27
1400,900,2080,14-119-1381661,0,0.02
1250,900,1985,14-119-1383930,0,0.02
1460,1000,1950,14-119-1383931,0,0.02
690,435,305,14-119-1386144,0,0.59
735,510,385,14-119-1386145,0,0.38
310,220,220,14-120-1387767,0,3.63
310,275,215,14-120-1387773,0,2.97
460,325,230,14-120-1387780,0,1.58
530,210,230,14-120-1387801,0,2.13
900,600,600,14-119-1387339,0,0.17
110,95,55,14-119-1315622,0,1.54
110,92,55,14-119-13156221,0,3.4
